标题,价格,均价,房子大小,总面积,楼层,优点
蒲公英天地！自带商业广场！自家门口学校交通医疗企业配套齐全,87,15208元/m²,3室2厅,57m²,中层(共11层),近地铁品质小区送车位
独立产证，70年产权，可用公积金，可落户，可读书，赠送20平,80.6,16120元/m²,3室2厅,50m²,中层(共12层),繁华地段安全性高素质住户
87万 电梯房 精装修 紫瑞华庭 房东急置换 诚意买房 寄售,87.3,9921元/m²,3室2厅,88m²,中层(共10层),南北通透环境优美
1成首付丨可落户上学丨交通便利丨生活配套齐全丨精装修临近地铁,81,9102元/m²,3室2厅,89m²,中层(共16层),品质小区环境优美繁华地段
东裕华庭 精装修 98万 88平 3室2厅 房东急置换 诚意,97,11043元/m²,3室2厅,87m²,中层(共16层),近地铁南北通透赠露台
业主因在澳门娱乐导致破产，现低与市场价，无任何抵押，随时过户,82,9850元/m²,3室2厅,83m²,中层(共13层),配套成熟环境优美繁华地段
房东急售 70年产权 精装送车位 附赠15平 产权清晰可落户,82,9214元/m²,3室2厅,89m²,中层(共16层),南北通透环境优美品质小区
产证齐全可落户上学房子实图拍摄无税精装修送家具家电,97,10913元/m²,3室2厅,88m²,中层(共12层),繁华地段素质住户配套成熟
萧山大江东这边，看房小区门口等，离的远可以接，随时看房,80,9196元/m²,3室2厅,87m²,中层(共15层),近地铁配套成熟品质小区
"急售华彩名府3房客厅朝南全明户型。低首付,采光好视角",90.6,9957元/m²,3室2厅,91m²,中层(共17层),南北通透环境优美小户型
疫情后捡漏来丨新上房源丨品质小区丨产权清晰丨精装修丨南北通透,83,8646元/m²,3室2厅,96m²,中层(共15层),南北通透交通便利送车位
外地人可买，精装修送家具家电，送车位，近地铁,80,9091元/m²,3室2厅,88m²,中层(共13层),南北通透环境优美
首付10万 70年产权住宅 可落户可上学 外地人捡漏房 随看,80,8989元/m²,3室1厅,89m²,中层(共12层),南北通透环境优美品质小区
房东急售！地铁口100m，无需社保，外地人可买可落户，南北通,87,17400元/m²,2室2厅,50m²,高层(共8层),南北通透环境优美交通便利
首付25万丨赠送12平丨70年产权住宅丨可过户丨业主低总价售,83,16600元/m²,3室2厅,50m²,中层(共9层),南北通透配套成熟交通便利
急售！产证齐全可过户！可公积金贷！精装修送家具家电！钥匙房！,85,14422元/m²,2室2厅,58m²,中层(共12层),配套成熟南北通透拎包入住
捡漏新上丨外地人可买丨精装产权车位丨70年产权住宅丨可落户,91,15690元/m²,2室1厅,58m²,中层(共12层),
无需社保，外地可购！好的房子不是用来欣赏的，是用来享受的！,83,16600元/m²,2室1厅,50m²,中层(共13层),新房房源南北通透环境优美
急急急 房东置换 急需脱手 周边配套成熟 送车位 拎包入住！,81,13729元/m²,3室2厅,59m²,低层(共13层),繁华地段交通便利配套成熟
70年产权丨外地人可买丨首付3成丨赠送车位丨降价30万丨急售,90,9575元/m²,3室2厅,94m²,中层(共6层),南北通透环境优美
