标题,价格,均价,房子大小,总面积,楼层,优点
！外地人可买，70年产权精装修住宅，可上学，南北通透,230,26838元/m²,3室2厅,85m²,高层(共17层),南北通透
（真实）200万加送车位！滨江大江之星！河庄地铁口！,200,22989元/m²,3室2厅,87m²,低层(共23层),
200万带车位！滨江大江之星！河庄地铁口！诚售！,200,22472元/m²,3室2厅,89m²,低层(共23层),
世茂江滨花园一期碧景湾，全新豪装三房，家具家电送，！,190,21224元/m²,3室2厅,89m²,中层(共13层),南北通透
东郡之星新装修，，新小区，满两年，送车位，诚心急卖！！,160,18004元/m²,3室2厅,88m²,中层(共16层),南北通透
万诚凰庭 次新毛坯三房 衙前镇政府旁 中心位置 小区体量大,138,15352元/m²,3室2厅,89m²,中层(共16层),安全性高繁华地段品质小区
一句话介绍此房小三房!置业!南北通透!户型超好!,190,21224元/m²,3室2厅,89m²,中层(共13层),南北通透
江景家园||难得大面积||赶紧下手！！,230,26810元/m²,3室2厅,85m²,高层(共17层),配套成熟交通便利品质小区
豪华自住精装修。带地暖。三开间朝南。采光全明。品质小区。一期,235,26695元/m²,3室2厅,88m²,低层(共33层),
东郡朗湾 纯西边套 20万自住精装修 诚心出售 看中可谈,213,24185元/m²,3室2厅,88m²,高层(共33层),拎包入住视野好环境优美
东裕华庭，125万，简装，A5户型 现房 随买随住。,125,14142元/m²,3室2厅,88m²,高层(共30层),
柠檬郡 精装自住三房 保养非常好 中楼层业主置换大套 诚心卖,240,26786元/m²,3室2厅,89m²,中层(共29层),近地铁南北通透
保利玫瑰湾 纯边套毛坯三房 超大双阳台 全透明户房  诚售,225,25516元/m²,3室2厅,88m²,中层(共34层),全南户型景观房房型正
新出急售房源！湖景居 刚需三房 三开间朝南 湖景房！,300,33666元/m²,3室2厅,89m²,低层(共18层),配套成熟次新小区品质小区
东裕华庭 A1户型 带三十万装修 楼层好 采光好南北通透,132,14850元/m²,3室2厅,88m²,高层(共32层),安全性高繁华地段品质小区
碧桂园大学城北 82方 大3房200万 低于市场价 机不可失,200,22502元/m²,3室2厅,88m²,低层(共33层),环境优美次新小区繁华地段
唯有钱江 世茂独秀 品质小区 户型方正 一线江景 看房方便！,215,24076元/m²,3室2厅,89m²,低层(共33层),近地铁配套成熟环境优美
保利江语海 送30万精装修一线江景 房东急售 价格可谈,299,34922元/m²,3室2厅,85m²,中层(共33层),近地铁景观房拎包入住
东郡精装三房，房东直降20万，家具家电全送，房东自住诚心出售,210,23845元/m²,3室2厅,88m²,高层(共35层),
"世茂瑞景湾,毛坯带空中花园,居住环境好,",208,23137元/m²,3室2厅,89m²,中层(共33层),近地铁南北通透环境优美
江语海  毛坯新房 文海教育 一线江景 南北通透,300,33587元/m²,3室2厅,89m²,低层(共34层),近地铁交通便利素质住户
宋都东郡国际。精装两房。小户型。刚需必看。即买即住。南北通透,229,26319元/m²,3室2厅,87m²,低层(共33层),南北通透拎包入住
宋都晨光国际 大三房 精装修全送， 纯西边套，随时看房！,228,25441元/m²,3室2厅,89m²,低层(共32层),近地铁南北通透拎包入住
后珠辰秀嘉园  92房大两房 主卧朝南 南北通透 精装修,210,22878元/m²,3室2厅,91m²,高层(共17层),配套成熟素质住户品质小区
衙前瓜沥旁 70年住宅电梯房 三房边套 带车位 采光无敌,160,17819元/m²,3室2厅,89m²,高层(共15层),安全性高繁华地段品质小区
多蓝水岸 精装 大两房 南北通透 小高层 采光好 业主诚心,225,24725元/m²,2室2厅,91m²,低层(共6层),近地铁南北通透
天街对面 龙湖小区   有钥匙  直降15万  还可谈,290,32511元/m²,2室2厅,89m²,低层(共22层),南北通透
柠檬郡 自住精装三房 保养好 拎包入住 全明户型 房东诚卖,260,29037元/m²,3室2厅,89m²,高层(共29层),近地铁配套成熟品质小区
保利新空毛坯 三房两卫 中间楼层 江景房 房东诚心出售价格,210,23158元/m²,3室2厅,90m²,中层(共34层),安全性高繁华地段品质小区
城市果岭 精装三房 拎包入住 南北通透 诚心出售 随时看房,220,25057元/m²,3室2厅,87m²,高层(共34层),安全性高繁华地段品质小区
宋都东郡国际。精装修大三房。两房朝南。南北通透。拎包即可入住,218,24846元/m²,3室2厅,87m²,中层(共17层),南北通透
首付20万，包税，外地人可买，70年产权，可落户上学，精装修,78,8764元/m²,3室2厅,89m²,中层(共20层),南北通透配套成熟环境优美
210万包车位实价可签！拒绝假价找我就对了,210,24402元/m²,3室2厅,86m²,高层(共33层),近地铁配套成熟繁华地段
钱塘新区 东郡之星纯东边套 送车位 有钥匙随时看房,230,25756元/m²,3室2厅,89m²,高层(共32层),南北通透近地铁品质小区
保利央企边套 刚需置业 标准三房 省15万税 低市场价20万,252,27391元/m²,3室2厅,92m²,低层(共33层),
钱塘新区新湾经典户型出售  边套三房 全明户型  满2年,153,18128元/m²,3室2厅,84m²,中层(共12层),
边套三房两卫，精装40万，可做婚房，送35方面积，实用的新家,245,26103元/m²,3室2厅,93m²,中层(共34层),拎包入住近地铁配套成熟
晨光国际 精装修跃层 性价比高 有车位 靠近地铁江滨站！,310,34949元/m²,3室2厅,88m²,低层(共42层),近地铁跃层式送车位
保利东湾！精装修！带大阳台！得房率高！三房两卫,255,27122元/m²,3室2厅,94m²,低层(共33层),南北通透
全明户型带储藏室，看房方便，房东诚心卖,180,20501元/m²,2室1厅,87m²,中层(共14层),近地铁南北通透
观澜时代天筑，一线江景房，30万精装三房 房东诚售 欢迎看房,216,25231元/m²,3室2厅,85m²,高层(共33层),拎包入住
宋都晨光国际 纯西边套 30万精装修 诚心出售 看房方便,270,30259元/m²,3室2厅,89m²,低层(共33层),近地铁拎包入住配套成熟
下沙大学城北精装修住宅 单价17000起 首付45万起,170,17526元/m²,3室2厅,97m²,中层(共20层),田园风
