标题,时间,URL
迪拜房价5年跌四成，中国投资者逆势入场抄底,2019-11-22,http://www.fangchan.com/news/8/2019-11-22/6603515645625963064.html
10月房企拿地均价降至年内最低 房价下跌城市增加,2019-11-20,http://www.fangchan.com/news/1/2019-11-20/6602721842585473588.html
10月70城房价涨幅回落 武汉二手房价跌2%,2019-11-19,http://www.fangchan.com/news/1/2019-11-19/6602367159413051854.html
10月70城房价：二手房下跌城市数量创历史新高,2019-11-15,http://www.fangchan.com/news/1/2019-11-15/6600979799198732931.html
全国投资置业瞄准凤凰谷，徐闻房价将一飞冲天？,2019-11-05,http://www.fangchan.com/news/132/2019-11-05/6597388932969992538.html
10月中住288指数报告出炉：房价“停涨”,2019-11-04,http://www.fangchan.com/news/1/2019-11-04/6596955905567560308.html
高房价城市，要稳房价更要打击虚拟交易,2019-10-29,http://www.fangchan.com/news/1/2019-10-29/6594758057010729339.html
高房价城市，要稳房价更要打击虚拟交易,2019-10-28,http://www.fangchan.com/news/1/2019-10-28/6594391562430779700.html
冯仑：进入改善型购房阶段 房价涨速会越来越缓慢了,2019-10-28,http://www.fangchan.com/news/7/2019-10-28/6594388223597023902.html
地方楼市政策微调频现 房价进入博弈关键期,2019-10-25,http://www.fangchan.com/news/1/2019-10-25/6593266149893673290.html
被点名后房价仍领涨全国，南宁楼市的真相其实是这样,2019-10-24,http://www.fangchan.com/news/1/2019-10-24/6593010269860205516.html
中国社科院：核心城市房价年内首降,2019-10-24,http://www.fangchan.com/news/1/2019-10-24/6592928137641005689.html
社科院报告：9月份一线城市房价微跌 北京下跌较快,2019-10-24,http://www.fangchan.com/news/1/2019-10-24/6592923503467762554.html
罕见！9月多城房价下降，创下年内“4最”！,2019-10-22,http://www.fangchan.com/news/1/2019-10-22/6592214775013642820.html
华南多城房价让利 四季度房企加速去化,2019-10-22,http://www.fangchan.com/news/9/2019-10-22/6592203247208173897.html
呼和浩特二手房价连涨10月背后：棚改“光环”与刚需入市,2019-10-16,http://www.fangchan.com/news/1/2019-10-16/6590042834248995271.html
“大湾区房价最低城市”肇庆地产市场降温下的维权个案,2019-10-12,http://www.fangchan.com/news/1/2019-10-12/6588623951071875701.html
东北浙江炒房团转战防城港：近10年房价两次大涨，部分中介成传销幌子,2019-10-11,http://www.fangchan.com/news/1/2019-10-11/6588230174788359099.html
房贷利率“换锚”后，对房价、房贷影响有多大？,2019-10-09,http://www.fangchan.com/news/4/2019-10-09/6587574515801592378.html
呼和浩特出稳房价新政：差别化限购、三套及以上住房不得商贷,2019-10-09,http://www.fangchan.com/news/6/2019-10-09/6587501599370055791.html
9月288城市房价出炉：涨幅继续收窄,2019-10-08,http://www.fangchan.com/news/1/2019-10-08/6587181866057798645.html
这个最近房价跌幅最大城市宜昌取消落户限制 开始抢人,2019-09-27,http://www.fangchan.com/news/1/2019-09-27/6583165900990779395.html
房价不涨，地产股却频频被增持，这是啥逻辑？,2019-09-23,http://www.fangchan.com/news/9/2019-09-23/6581740474397430622.html
统计局：一线城市二手房价15个月来首次同比下跌,2019-09-17,http://www.fangchan.com/news/1/2019-09-17/6579585922961314531.html
海南省委书记：不能因建自贸港出现房价大起大落,2019-09-17,http://www.fangchan.com/news/1/2019-09-17/6579573317383295324.html
深圳回迁房“灰色”生意：违建变身拿“红本” 旧改3年房价翻5倍,2019-09-10,http://www.fangchan.com/news/129/2019-09-10/6577029185792184610.html
8月288城市房价出炉 涨幅持续收窄,2019-09-05,http://www.fangchan.com/news/1/2019-09-05/6575232291940143393.html
注意！13个城市步入“超高房价”行列,2019-08-30,http://www.fangchan.com/news/1/2019-08-30/6573035456240619804.html
超五成受访者认为东莞房价过高,2019-08-30,http://www.fangchan.com/news/1/2019-08-30/6573002603993829683.html
《斯维登置业·胡润2019上半年全球房价指数》,2019-08-29,http://www.fangchan.com/news/132/2019-08-29/6572689846408909346.html
核心城市房价涨速略上升 仍低于去年高点,2019-08-29,http://www.fangchan.com/news/1/2019-08-29/6572635599935967619.html
江苏自贸区来了，房价会涨吗,2019-08-27,http://www.fangchan.com/news/1/2019-08-27/6571921991904071731.html
楼市调整关键之期 个别城市房价涨速须警惕,2019-08-19,http://www.fangchan.com/news/1/2019-08-19/6569023373740151508.html
20城二手房连跌两月，未来下调房价城市或还增员,2019-08-16,http://www.fangchan.com/news/1/2019-08-16/6568012123317014533.html
调控显效 7月房价趋稳,2019-08-16,http://www.fangchan.com/news/1/2019-08-16/6568011795003674793.html
杭州已有16宗“限房价、限地价”地块挂牌,2019-08-16,http://www.fangchan.com/news/1/2019-08-16/6567932608746165242.html
7月房价：非热点城市抬头，二三线仍较“顽固”,2019-08-15,http://www.fangchan.com/news/1/2019-08-15/6567624147923702521.html
经济观察：投资降速购地减少 中国房价会降吗？,2019-08-15,http://www.fangchan.com/news/1/2019-08-15/6567602910484828264.html
杭州法拍“低价房”再现 起拍价为周边二手房价的6.4折,2019-08-15,http://www.fangchan.com/news/1/2019-08-15/6567565176265315113.html
房地产不再作为短期刺激经济手段 下半年房价大概率保持平稳,2019-08-01,http://www.fangchan.com/news/1/2019-08-01/6562556343096775113.html
中国房价288指数重出江湖 7月近六成城市房价上涨,2019-08-01,http://www.fangchan.com/news/1/2019-08-01/6562489442018595231.html
大连：实施商品住房价格指导，严查哄抬房价,2019-07-31,http://www.fangchan.com/news/6/2019-07-31/6562222348744069534.html
大连加码楼市调控：实施商品住房价格指导 严查哄抬房价等行为,2019-07-31,http://www.fangchan.com/news/6/2019-07-31/6562154661129031800.html
大连：实施商品住房价格指导，严查哄抬房价等行为,2019-07-31,http://www.fangchan.com/news/1/2019-07-31/6562139155588256206.html
6月核心城市房价基本止涨,2019-07-30,http://www.fangchan.com/news/1/2019-07-30/6561768081335849046.html
标题,时间,URL
6月涨幅全国第一 洛阳给房价设立“涨停板”,2019-07-29,http://www.fangchan.com/news/1/2019-07-29/6561406687499326449.html
上半年50个城市房价收入比排名出炉，哪些城市购房难度最大？,2019-07-24,http://www.fangchan.com/news/1/2019-07-24/6559635277827346643.html
50城房价收入比排名：深圳最高达36.1，长沙压力最小,2019-07-24,http://www.fangchan.com/news/1/2019-07-24/6559590184751797149.html
广州 “商改租”细则出台 专家称利于平抑房价房租,2019-07-22,http://www.fangchan.com/news/1/2019-07-22/6558887133938258356.html
天津落户新政一年：新房扎堆促销 二手房价不升反降,2019-07-18,http://www.fangchan.com/news/1/2019-07-18/6557419873319063897.html
不再公布房价，融资全面收紧，楼市调控超预期,2019-07-17,http://www.fangchan.com/news/4/2019-07-17/6557064450288194386.html
楼市调控成效显现：房住不炒信号明确，20城二手房价稳中有跌,2019-07-16,http://www.fangchan.com/news/1/2019-07-16/6556702319227245098.html
6月房价：一三线城市略收窄，二线涨幅有扩大,2019-07-15,http://www.fangchan.com/news/1/2019-07-15/6556401581087331292.html
看房团撤退下的乳山楼市真相 新房熄火二手房价腰斩,2019-07-08,http://www.fangchan.com/news/1/2019-07-08/6553883579901087823.html
房价连涨39月调控持续加码 西安楼市迎来拐点?,2019-07-05,http://www.fangchan.com/news/1/2019-07-05/6552704974147883870.html
朱宁：若放开限购 一二线城市房价会有报复性反弹,2019-07-04,http://www.fangchan.com/news/7/2019-07-04/6552457341718303355.html
杭州“土拍新政”限房价 南京会跟进吗？,2019-07-03,http://www.fangchan.com/news/1/2019-07-03/6551988045632311589.html
