标题,价格,均价,房子大小,总面积,楼层,优点
东盛家园 温馨小两居 楼层好 采光好 家具家电全送 看房方便,140,25166元/m²,2室1厅,55m²,低层(共16层),送家电房型正拎包入住
1号线地铁站 70年产权 房东急售 包税 以租养贷 包租4千,77,14000元/m²,2室2厅,55m²,中层(共6层),南北通透繁华地段品质小区
温馨精装小两房，可拎包入住,160,28761元/m²,2室1厅,55m²,低层(共16层),南北通透小户型拎包入住
高沙站旁 精装自住 刚需低总价小户型 您的不二之选 看房随时,139,24429元/m²,2室1厅,56m²,低层(共15层),近地铁南北通透
多蓝水岸，A2户型，南北通透精装大两房  下沙户型好的小区,195,20970元/m²,2室2厅,92m²,低层(共11层),近地铁南北通透
东部之星 下沙文泽文海双地铁口 全杭地铁口低单价 现房,96,18113元/m²,3室2厅,53m²,低层(共25层),新房房源近地铁繁华地段
可落户 送车位 送阳台 精装修 精装修 70年产权住宅房,76,12418元/m²,2室1厅,61m²,共1层,南北通透小户型环境优美
蒲公英天地（精装修Loft公寓）4000标准，租金高.总价低,40,20000元/m²,2室2厅,20m²,共5层,南北通透近地铁品质小区
投姿必选 房东着急用钱 挂牌三天 独立产证 可落户上学 无税,72.5,12832元/m²,2室2厅,56m²,高层(共6层),南北通透配套成熟品质小区
外地人可买，可落户，可上学。精装房，送家电，可贷款！,48.5,10543元/m²,2室2厅,46m²,中层(共11层),配套成熟环境优美品质小区
首付三成，无需社保，上学，购物，健身，出行，一应俱全拎包入住,45,8182元/m²,2室2厅,55m²,中层(共11层),近地铁繁华地段品质小区
首付15W 总价30万 三证齐全 双钥匙 平层 邻杭公寓来袭,33,9429元/m²,2室2厅,35m²,高层(共6层),
下沙文泽地铁口 一手精装修公寓 现房 即买即交付随时看,106,18276元/m²,3室2厅,58m²,低层(共25层),新房房源
铭和苑新出好房 自住装修 配套齐全 诚心出售 看房方便,185,21992元/m²,2室2厅,84m²,低层(共18层),配套成熟繁华地段
裕园公寓（70年产权精装修住宅）靠近小区花园 文泽路地铁口,85,22363元/m²,1室1厅,38m²,中层(共7层),近地铁近学校配套成熟
东郡之星，新出真实在卖，房东自住装修20万，随时看房拎包入住,150,21614元/m²,2室2厅,69m²,低层(共31层),南北通透
锦湖家园 南北通透两居室 近地铁 近公园 满五没双税,196,33793元/m²,2室1厅,58m²,低层(共18层),近地铁交通便利素质住户
下沙核心地段和达城 五角广场 印象城 物美 龙湖天街 银泰等,100,17241元/m²,2室2厅,58m²,低层(共14层),新房房源
伊萨卡边套排屋 诚心出售 满两年 看房方便,600,30151元/m²,4室2厅,199m²,共3层,南北通透联排别墅送车位
诚心急售 包租五千 清雅别致装修 保养优 无需社保 可落户,86.5,16635元/m²,2室2厅,52m²,低层(共18层),
售银泰旁！！中豪七格  ，中高楼层，纯东边套，精装修，着急出,95,18701元/m²,2室1厅,50m²,低层(共22层),南北通透
文泽路地铁口 复式精装修一手公寓 层高4.89米 繁华地段！,100,17241元/m²,2室2厅,58m²,中层(共14层),南北通透
金沙湖  东岸嘉园  新出精装两房 拎包入住 急售,170,29115元/m²,2室1厅,58m²,中层(共17层),南北通透近地铁品质小区
外地人不限购 首付18万 精修两房 产证齐全 包租4千送车位,58.3,14575元/m²,2室2厅,40m²,中层(共16层),南北通透近地铁品质小区
郡原蓝湖国际 70年产权  可落户上学 产权清晰 外地人可买,48,9796元/m²,2室2厅,49m²,中层(共12层),近地铁繁华地段品质小区
无需社保丨可落户丨首付三成丨近地铁丨送17平方丨产权清晰丨,43,8958元/m²,2室2厅,48m²,中层(共15层),南北通透送车位近地铁
首付40万，奥体旁精装跃层公寓，全新精装修拎包入住，转,82,15907元/m²,2室2厅,51m²,中层(共20层),近学校配套成熟交通便利
东岸嘉园精装小两房 满两年 刚需房 主卧带阳台 拎包入住,178,31152元/m²,2室1厅,57m²,中层(共17层),交通便利繁华地段品质小区
很急售房源，老板推荐！低于市场价15万，首付12万可落户上学,42,8898元/m²,2室2厅,47m²,中层(共13层),
首付10万起，外地人可买，70年产权住宅，通燃气，民用水电！,49,10426元/m²,2室2厅,47m²,中层(共12层),近地铁南北通透品质小区
钱民花苑精装修 南北通透 近地铁 品质小区 配套成熟 送车位,45,8491元/m²,2室2厅,53m²,中层(共16层),近地铁繁华地段品质小区
华彩名府品质住宅|外地人可买|精装家电全送|可落户上学|,48,9796元/m²,2室2厅,49m²,中层(共16层),近地铁繁华地段品质小区
东盛家园|满五年|精装修2房朝南|诚心卖|南北通透|随时看,136,23288元/m²,2室1厅,58m²,中层(共16层),南北通透
江干核心地段租金4000起 产证齐全 红本无税 可落户可上课,74,11746元/m²,2室2厅,63m²,低层(共16层),交通便利安全性高品质小区
急用钱，包税，地铁口 无需社保，三证齐全，精装修，拎包入住,33.3,8325元/m²,2室2厅,40m²,中层(共17层),近地铁配套成熟品质小区
捡漏白菜价，产证齐全，无需社保，精装修带车位，外地人可买！,42,10244元/m²,2室2厅,41m²,中层(共15层),南北通透环境优美素质住户
急售！首付13万，地铁口精装复式，挑高5.5米，送车位家具,51,11860元/m²,2室2厅,43m²,高层(共15层),近地铁配套成熟交通便利
下沙地铁口！70年独立住宅！无需社保！外地人可买！精装现房！,51,9623元/m²,2室2厅,53m²,高层(共17层),近地铁交通便利品质小区
下沙江滨1号线云水站！70年独立住宅！无需社保！无抵押！包税,46,9200元/m²,2室2厅,50m²,高层(共17层),近地铁交通便利品质小区
惊喜！总价14万，外地人可买，产证齐全无抵押，可落户上学！！,14,13834元/m²,2室2厅,10m²,低层(共13层),配套成熟繁华地段品质小区
70年产权 精装修 送家具家电 可拎包入住 交通便利,85,11039元/m²,2室2厅,77m²,中层(共11层),配套成熟环境优美交通便利
地铁口 天街旁 和达御观邸新出跃层大房 价格真实 诚心卖,590,45069元/m²,4室2厅,130m²,低层(共32层),近地铁繁华地段品质小区
元成时代中心 LOFT结构 自住精装修 周边配套完善 租金高,80,16667元/m²,3室1厅,48m²,中层(共23层),南北通透环境优美
铭和苑新荷坊 2房2厅1卫 精装修 南北通透 房东诚心出售,190,21416元/m²,2室2厅,88m²,中层(共16层),南北通透近地铁品质小区
